,,Family (Scientific),Genus,Species (Scientific),Subspecies,Nom català,Species (English)
NEOGNATHAE,,,,,,
,,,170,Thalasseus,elegans,,Xatrac elegant,Elegant Tern
,,,171,Sternula,albifrons,,Xatrac menut,Little Tern
,,,172,Onychoprion,anaethetus,,Xatrac embridat,Bridled Tern
,,,173,Onychoprion,fuscatus,,Xatrac fosc,Sooty Tern
,,,174,Sterna,dougallii,,Xatrac rosat,Roseate Tern
,,,175,Sterna,hirundo,,Xatrac comú,Common Tern
,,,176,Chlidonias,hybrida,,Fumarell carablanc,Whiskered Tern
,,,177,Chlidonias,leucopterus,,Fumarell alablanc,White-winged Tern
,,,178,Chlidonias,niger,,Fumarell negre,Black Tern
,,,,,,,,
,20,Stercorariidae,,,,,,Skuas
,,,179,Stercorarius,skua,,Paràsit gros,Great Skua
,,,180,Stercorarius,pomarinus,,Paràsit cuaample,Pomarine Jaeger
,,,181,Stercorarius,parasiticus,,Paràsit cuapunxegut,Parasitic Jaeger
,,,182,Stercorarius,longicaudus,,Paràsit cuallarg,Long-tailed Jaeger
,,,,,,,,
,21,Alcidae,,,,,,Auks
,,,183,Alle,alle,,Gavotí,Little Auk
,,,184,Uria,aalge,,Somorgollaire,Common Murre
,,,185,Alca,torda,,Gavot,Razorbill
,,,186,Fratercula,arctica,,Fraret,Atlantic Puffin
,,,,,,,,
XIII,GAVIIFORMES,,,,,,
,22,Gaviidae,,,,,,Loons
,,,187,Gavia,stellata,,Calàbria petita,Red-throated Loon
,,,188,Gavia,arctica,,Calàbria agulla,Black-throated Loon
,,,189,Gavia,immer,,Calàbria grossa,Common Loon
,,,,,,,,
XIV,PROCELLARIIFORMES,,,,,,
,23,Hydrobatidae,,,,,,Northern Storm Petrels
,,,190,Hydrobates,pelagicus,melitensis,Ocell de tempesta,Mediterranean Storm Petrel
,,,191,Oceanodroma,leucorhoa,,Petrell cuaforcat,Leach’s Storm Petrel
,,,,,,,,
,24,Procellariidae,,,,,,"Petrels, Shearwaters, Diving Petrels"
,,,192,Calonectris,diomedea,,Baldriga cendrosa mediterrània,Scopoli’s Shearwater
,,,193,Calonectris,borealis,,Baldriga cendrosa atlàntica,Cory’s Shearwater
,,,194,Ardenna,grisea,,Baldriga grisa,Sooty Shearwater
,,,195,Ardenna,gravis,,Baldriga capnegra,Great Shearwater
